Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
07 Balears, Illes;0-15 años;Extranjeros;Mujeres;2021;15.394
07 Balears, Illes;0-15 años;Extranjeros;Mujeres;2020;15.382
07 Balears, Illes;0-15 años;Extranjeros;Mujeres;2019;14.560
07 Balears, Illes;16-64 años;Españoles;Hombres;2021;319.697
07 Balears, Illes;16-64 años;Españoles;Hombres;2020;319.755
07 Balears, Illes;16-64 años;Españoles;Hombres;2019;317.084
07 Balears, Illes;16-64 años;Españoles;Mujeres;2021;310.502
07 Balears, Illes;16-64 años;Españoles;Mujeres;2020;310.582
07 Balears, Illes;16-64 años;Españoles;Mujeres;2019;308.383
07 Balears, Illes;16-64 años;Extranjeros;Hombres;2021;87.712
07 Balears, Illes;16-64 años;Extranjeros;Hombres;2020;87.781
07 Balears, Illes;16-64 años;Extranjeros;Hombres;2019;81.176
07 Balears, Illes;16-64 años;Extranjeros;Mujeres;2021;84.721
07 Balears, Illes;16-64 años;Extranjeros;Mujeres;2020;84.937
07 Balears, Illes;16-64 años;Extranjeros;Mujeres;2019;79.150
07 Balears, Illes;65 y más;Españoles;Hombres;2021;75.923
07 Balears, Illes;65 y más;Españoles;Hombres;2020;74.297
07 Balears, Illes;65 y más;Españoles;Hombres;2019;72.522
07 Balears, Illes;65 y más;Españoles;Mujeres;2021;95.143
07 Balears, Illes;65 y más;Españoles;Mujeres;2020;93.167
07 Balears, Illes;65 y más;Españoles;Mujeres;2019;91.184
07 Balears, Illes;65 y más;Extranjeros;Hombres;2021;7.492
07 Balears, Illes;65 y más;Extranjeros;Hombres;2020;7.224
07 Balears, Illes;65 y más;Extranjeros;Hombres;2019;6.867
07 Balears, Illes;65 y más;Extranjeros;Mujeres;2021;8.804
07 Balears, Illes;65 y más;Extranjeros;Mujeres;2020;8.536
07 Balears, Illes;65 y más;Extranjeros;Mujeres;2019;8.071
08 Barcelona;0-15 años;Españoles;Hombres;2021;390.709
08 Barcelona;0-15 años;Españoles;Hombres;2020;400.042
08 Barcelona;0-15 años;Españoles;Hombres;2019;406.857
08 Barcelona;0-15 años;Españoles;Mujeres;2021;368.763
08 Barcelona;0-15 años;Españoles;Mujeres;2020;377.523
08 Barcelona;0-15 años;Españoles;Mujeres;2019;384.000
08 Barcelona;0-15 años;Extranjeros;Hombres;2021;66.671
08 Barcelona;0-15 años;Extranjeros;Hombres;2020;68.576
08 Barcelona;0-15 años;Extranjeros;Hombres;2019;63.456
08 Barcelona;0-15 años;Extranjeros;Mujeres;2021;62.530
08 Barcelona;0-15 años;Extranjeros;Mujeres;2020;64.219
08 Barcelona;0-15 años;Extranjeros;Mujeres;2019;59.207
08 Barcelona;16-64 años;Españoles;Hombres;2021;1.506.091
08 Barcelona;16-64 años;Españoles;Hombres;2020;1.506.464
08 Barcelona;16-64 años;Españoles;Hombres;2019;1.506.278
08 Barcelona;16-64 años;Españoles;Mujeres;2021;1.518.234
08 Barcelona;16-64 años;Españoles;Mujeres;2020;1.519.981
08 Barcelona;16-64 años;Españoles;Mujeres;2019;1.522.017
08 Barcelona;16-64 años;Extranjeros;Hombres;2021;366.417
08 Barcelona;16-64 años;Extranjeros;Hombres;2020;369.365
08 Barcelona;16-64 años;Extranjeros;Hombres;2019;334.255
08 Barcelona;16-64 años;Extranjeros;Mujeres;2021;344.414
08 Barcelona;16-64 años;Extranjeros;Mujeres;2020;349.893
08 Barcelona;16-64 años;Extranjeros;Mujeres;2019;319.265
08 Barcelona;65 y más;Españoles;Hombres;2021;447.928
08 Barcelona;65 y más;Españoles;Hombres;2020;446.745
08 Barcelona;65 y más;Españoles;Hombres;2019;440.376
08 Barcelona;65 y más;Españoles;Mujeres;2021;611.247
08 Barcelona;65 y más;Españoles;Mujeres;2020;609.089
08 Barcelona;65 y más;Españoles;Mujeres;2019;601.342
08 Barcelona;65 y más;Extranjeros;Hombres;2021;13.434
08 Barcelona;65 y más;Extranjeros;Hombres;2020;13.124
08 Barcelona;65 y más;Extranjeros;Hombres;2019;11.467
08 Barcelona;65 y más;Extranjeros;Mujeres;2021;18.292
08 Barcelona;65 y más;Extranjeros;Mujeres;2020;18.381
08 Barcelona;65 y más;Extranjeros;Mujeres;2019;16.059
48 Bizkaia;0-15 años;Españoles;Hombres;2021;73.949
48 Bizkaia;0-15 años;Españoles;Hombres;2020;75.820
48 Bizkaia;0-15 años;Españoles;Hombres;2019;76.997
48 Bizkaia;0-15 años;Españoles;Mujeres;2021;69.988
48 Bizkaia;0-15 años;Españoles;Mujeres;2020;71.793
48 Bizkaia;0-15 años;Españoles;Mujeres;2019;73.069
48 Bizkaia;0-15 años;Extranjeros;Hombres;2021;6.874
48 Bizkaia;0-15 años;Extranjeros;Hombres;2020;6.671
48 Bizkaia;0-15 años;Extranjeros;Hombres;2019;5.979
48 Bizkaia;0-15 años;Extranjeros;Mujeres;2021;6.277
48 Bizkaia;0-15 años;Extranjeros;Mujeres;2020;6.109
48 Bizkaia;0-15 años;Extranjeros;Mujeres;2019;5.643
48 Bizkaia;16-64 años;Españoles;Hombres;2021;326.914
48 Bizkaia;16-64 años;Españoles;Hombres;2020;329.974
48 Bizkaia;16-64 años;Españoles;Hombres;2019;331.539
48 Bizkaia;16-64 años;Españoles;Mujeres;2021;327.857
48 Bizkaia;16-64 años;Españoles;Mujeres;2020;330.830
48 Bizkaia;16-64 años;Españoles;Mujeres;2019;332.647
48 Bizkaia;16-64 años;Extranjeros;Hombres;2021;36.959
48 Bizkaia;16-64 años;Extranjeros;Hombres;2020;35.887
48 Bizkaia;16-64 años;Extranjeros;Hombres;2019;31.962
48 Bizkaia;16-64 años;Extranjeros;Mujeres;2021;37.062
48 Bizkaia;16-64 años;Extranjeros;Mujeres;2020;36.621
48 Bizkaia;16-64 años;Extranjeros;Mujeres;2019;32.635
48 Bizkaia;65 y más;Españoles;Hombres;2021;111.756
48 Bizkaia;65 y más;Españoles;Hombres;2020;110.539
48 Bizkaia;65 y más;Españoles;Hombres;2019;108.966
48 Bizkaia;65 y más;Españoles;Mujeres;2021;154.263
48 Bizkaia;65 y más;Españoles;Mujeres;2020;152.936
48 Bizkaia;65 y más;Españoles;Mujeres;2019;151.255
48 Bizkaia;65 y más;Extranjeros;Hombres;2021;964
48 Bizkaia;65 y más;Extranjeros;Hombres;2020;907
48 Bizkaia;65 y más;Extranjeros;Hombres;2019;769
48 Bizkaia;65 y más;Extranjeros;Mujeres;2021;1.471
48 Bizkaia;65 y más;Extranjeros;Mujeres;2020;1.356
48 Bizkaia;65 y más;Extranjeros;Mujeres;2019;1.190
09 Burgos;0-15 años;Españoles;Hombres;2021;22.330
09 Burgos;0-15 años;Españoles;Hombres;2020;22.755
09 Burgos;0-15 años;Españoles;Hombres;2019;22.956
09 Burgos;0-15 años;Españoles;Mujeres;2021;21.016
09 Burgos;0-15 años;Españoles;Mujeres;2020;21.490
09 Burgos;0-15 años;Españoles;Mujeres;2019;21.713
09 Burgos;0-15 años;Extranjeros;Hombres;2021;2.379
09 Burgos;0-15 años;Extranjeros;Hombres;2020;2.408
09 Burgos;0-15 años;Extranjeros;Hombres;2019;2.206
09 Burgos;0-15 años;Extranjeros;Mujeres;2021;2.321
09 Burgos;0-15 años;Extranjeros;Mujeres;2020;2.320
09 Burgos;0-15 años;Extranjeros;Mujeres;2019;2.169
09 Burgos;16-64 años;Españoles;Hombres;2021;102.439
09 Burgos;16-64 años;Españoles;Hombres;2020;103.064
09 Burgos;16-64 años;Españoles;Hombres;2019;104.176
09 Burgos;16-64 años;Españoles;Mujeres;2021;96.313
09 Burgos;16-64 años;Españoles;Mujeres;2020;96.836
09 Burgos;16-64 años;Españoles;Mujeres;2019;97.702
09 Burgos;16-64 años;Extranjeros;Hombres;2021;11.673
09 Burgos;16-64 años;Extranjeros;Hombres;2020;11.427
09 Burgos;16-64 años;Extranjeros;Hombres;2019;10.599
09 Burgos;16-64 años;Extranjeros;Mujeres;2021;11.521
09 Burgos;16-64 años;Extranjeros;Mujeres;2020;11.561
